Stream order,Altitude (m),CH4 (µM) Average_Ambient Air,DOC (mg L-1),CDOM 440 nm_simple (m-1),SUVA 254,TP (µM),Air Temperature (°C),Atmospheric pressure (ha Pa),Water Temperatre (°C),pH,Conductivity,DO (mg L-1),Turbidity (NTU),Water flow (m/s)_final,Nitrate (NO3) (mg L-1) (AVG),Waterbody (%),Forest (%),Flooded Vegetation (%),Agriculture (%),Built-up Area (%),Bareground (%),Rangeland (%),Terrein Slope (%)
4,480,20.46642984,27.2,6.275675,2.840648897,70.32,32.8,962.3,28.7,7.44,1406.6,0.12,54.3,0.65024,82.27,2.481848,1.303983,0.033358,67.00494,22.86334,0.034794,6.277738,2.3235
4,483,82.22177951,27.005,6.966575,3.091418256,56.22,35,960.2,28.13,7.28,1445.8,0.08,43.8,0.65024,93.045,2.416062,1.105983,0.038011,76.54517,14.53787,0.027407,5.329502,2.443333333
4,481,98.75492945,43.32,9.269575,4.239710295,64.88,36,957.2,29.55,7.29,1494.3,0.06,40.2,0.65024,83.795,2.491161,1.276963,0.033511,67.19149,22.77836,0.034953,6.193553,2.42251
4,486,67.72237108,29.72,5.815075,3.428928331,55.71,34.8,955.7,29.11,7.46,1475.4,0.06,37.3,0.65024,86.665,2.401236,1.11103,0.038832,78.22436,12.82337,0.028011,5.373166,2.526866667
3,571,79.62971105,29,4.663575,2.64845,73.05,34.2,955.3,29.58,7.55,1634.2,0.08,22.4,0.65024,92.25,0.983095,,0,86.41331,12.55751,0.000768,0.045315,2.693333333
4,511,3.334409104,22.61,5.584775,3.478436533,29.27,33.5,959.4,26.81,8.63,1720.2,10.94,10.2,0.65024,6.395,2.117562,1.342241,0.053233,83.87139,8.729278,0.015436,3.870858,1.812222222
4,517,2.769311576,16.275,3.742375,3.205096774,19.88,33.4,958.6,26.34,8.14,1020.3,9.94,3,0.65024,5,2.125237,1.340472,0.053656,84.39408,8.353107,0.015456,3.717985,1.875777778
4,540,0.449375847,16.46,0.978775,1.86786452,3.31,34.3,954.3,28.7,8.22,426.08,7.95,13.5,0.2032,1.945,0.785901,0.704938,0.000231,89.47923,6.613394,0.005483,2.410814,1.58975
3,501,185.3433152,30.31,5.354475,2.746732102,79.32,33.6,956.2,30.27,7.35,1782.7,0.06,35,0.77216,95.08,2.931393,0.615821,0.018283,74.17529,15.01693,0.050691,7.191592,2.676555556
3,514,38.99658968,25.57,6.966575,2.697491201,59.55,33,955,29.02,7.45,1594.6,0.06,33.3,0.6096,72.575,6.145443,0.259584,0.041359,64.63645,19.1651,0.107694,9.644367,3.585111111
3,527,75.79033686,14.135,3.972675,3.380774673,33.79,32.4,958.7,27.36,7.37,680.47,2.24,6.5,0.65024,30.51,3.398218,0.315229,0.022472,83.72046,8.20891,0.023733,4.310978,3.616333333
3,551,0.42789913,14.995,0.748475,1.589599867,3.53,30.6,956.5,26.15,7.97,1447.07,7.14,16.9,0.2032,1.625,0.271366,0.337924,0,90.4671,5.34027,0.010154,3.573189,2.245222222
4,475,49.28090387,31.635,6.505975,2.966563932,63.78,31.9,959.2,28.92,7.34,1436.4,0.08,66.9,0.65024,88.81,2.481259,1.302898,0.033308,66.91004,22.96305,0.034741,6.274704,2.055666667
4,469,33.70388411,30.105,6.966575,2.887834247,53.27,28.8,959.7,27.94,7.47,1421.8,0.1,65.9,0.2032,90.035,2.478641,1.332759,0.033232,66.75777,23.07758,0.034662,6.285347,2.046444444
4,472,90.98853549,37.365,8.118075,2.899937107,52.67,28.1,962.7,25.44,7.55,1453,0.05,55.5,0.24384,88.08,2.771431,1.339745,0.037054,61.26624,27.92457,0.039211,6.621751,2.054
4,460,49.54572911,25.735,5.354475,2.91286769,53.03,31.2,963.9,26.4,7.6,1462.1,0.05,58,0.28448,93.255,2.46306,1.379086,0.031549,63.43689,26.31985,0.034332,6.335239,2.038555556
4,445,9.585902068,22.81,4.893875,3.104658045,49.02,32.1,964.9,26.88,7.48,1482.7,0.67,25.5,0.56896,93.19,2.445414,1.444455,0.030943,62.53772,26.68684,0.033672,6.82096,1.933222222
4,435,8.042101127,21.58,4.663575,3.249599166,51.21,32.8,965.4,28.55,7.52,1524.9,1.13,12.9,0.69088,90.28,2.43391,1.442388,0.030867,61.61439,27.15253,0.033139,7.292773,3.314111111
4,413,1.374640161,19.945,4.202975,3.319691652,42.99,34.8,966,28.08,7.71,1541.5,5.24,7.3,0.24384,86.1,2.463842,1.429221,0.028917,59.52008,28.1394,0.039743,8.378793,3.350777778
4,386,0.703358894,18.805,4.893875,3.655652752,43.76,34,967.1,29.76,7.85,1596,5.91,17.3,0.4064,85.115,2.511572,1.410873,0.028448,59.58471,27.81967,0.059759,8.58497,3.330555556
4,362,0.162240663,15.56,4.433275,4.284823265,43.11,35,969.6,29.13,8.1,1568.3,6.87,10.9,0.56896,78.76,2.502883,1.423089,0.027841,59.64625,27.35315,0.058204,8.988586,3.210555556
4,343,1.619815859,18.18,2.360575,3.261949945,2.8,33.3,971.3,30.91,8.61,3131.1,13.44,5.8,0.54864,3.11,2.793506,1.425087,0.010583,59.4043,12.84456,0.203124,23.31884,5.424
5,329,0.440379668,15.81,3.742375,3.663532574,44.18,33.2,972.6,27.78,7.78,1620,4.86,5.3,0.52832,59.38,2.391235,1.455303,0.029789,59.27405,21.19711,0.078148,15.57437,3.724333333
5,319,0.367472757,14.6,4.202975,4.09334589,42.91,34.3,973.7,30.58,7.94,1717.1,7.3,15.3,0.56896,49.605,2.414973,1.464141,0.030533,59.39406,21.5277,0.079132,15.08946,3.706888889
5,301,0.379720809,18.15,3.972675,3.597247934,36.54,34.1,976.7,30,8.44,2044.3,12.59,12.2,0.56896,11,2.398658,1.411463,0.028988,60.20468,20.69959,0.077238,15.17939,3.514666667
5,279,0.524975511,17.275,3.742375,3.68613314,33.82,35.1,978.3,30.4,8.42,2340,11.55,12.4,0.56896,4.86,2.418484,1.360004,0.027948,61.37447,20.08486,0.075645,14.65859,3.332111111
5,240,0.409202322,16.965,3.051475,3.672039493,32.53,32.7,982.4,31,8.67,2859.9,13.29,7.4,0.62992,1.99,2.430018,1.291352,0.026397,63.05371,19.18626,0.07311,13.93915,2.827333333
5,166,0.832755498,15.14,1.669675,2.715227873,2.1,27.7,994.1,29.2,7.99,3814.8,8.74,8.3,0.62992,1.97,2.479783,1.132737,0.041453,70.40999,14.23932,0.136142,11.56058,2.560311111
5,149,0.348122941,14.91,3.972675,3.452183099,4.53,30.3,995.6,28.88,8.22,2104.8,7.64,6.2,0.69088,1.89,2.491577,1.125359,0.041549,70.54166,14.17723,0.135851,11.48677,3.243333333
5,170,0.960846248,13.97,2.360575,2.942630637,4.85,32.2,996.3,30.49,8.14,1926.4,8.91,24.2,0.83312,1.815,4.965389,0.174776,0,86.74607,8.112265,0.001499,,3.442251
5,95,0.245902484,10.72,2.360575,2.97542444,2.32,33.7,998.1,30.12,8.32,1211.7,9.84,4.7,0.97536,0.67,2.549526,1.024913,0.037472,72.34068,13.46071,0.129388,10.45731,2.784
5,56,0.170788121,11.75,1.899975,2.9106,2.37,35,1001.2,31.12,8.41,1177.3,10,7.2,1.4224,1.12,2.578021,0.987835,0.036024,72.92405,13.26185,0.124771,10.08745,2.880333333
5,49,0.43298193,12.31,1.669675,2.497567019,3.73,35,1001.7,30.58,8.49,1134.9,11,11.5,1.4224,1.195,2.581319,0.988373,0.035853,72.89169,13.22941,0.130834,10.14253,2.543222222
8,55,0.154420036,9.662,0.978775,2.610003105,1.47,35.6,1002.8,28.36,8.42,779.55,10.81,3.9,0,1.715,2.271818,5.839814,0.014837,74.23334,4.151268,0.025956,13.46297,4.962566667
8,70,0.094151784,9.978,0.748475,1.719517939,1.74,37,999.7,29.54,9.57,618.58,11.55,0.6,0,1.67,2.283455,5.930695,0.014787,74.2407,4.167321,0.026205,13.33684,4.112
8,256,0.094914917,10.26,0.518175,1.537577973,1.09,38.8,981.4,28.28,,,,2.7,0,1.215,2.208666,5.927957,0.015241,74.95197,4.233084,0.023594,12.63949,4.613333333
8,535,0.025125839,7.8865,0.978775,2.438350346,1.09,36.3,980.1,28.2,,,,3.4,0,1.775,2.203249,5.924806,0.015307,75.08347,4.222942,0.023684,12.52654,4.969012222
7,266,0.331153781,10.25,1.439375,2.864707317,2.91,32.6,982.5,29.44,9.03,1425.8,7.52,9.9,0.44704,1.78,2.337622,3.075261,0.005764,78.70797,4.689642,0.015228,11.16852,4.612777778
7,316,0.388201999,11.03,0.518175,1.952225748,2.15,31.7,976.1,29.72,7.76,1361.4,8.49,6,0.44704,1.5,2.318462,3.088827,0.005788,78.67969,4.689882,0.014884,11.20247,4.699
7,335,0.561997679,21.56,0.748475,1.169659091,11.63,36.6,971.5,32.13,7.59,1700.3,10.53,11.4,0.44704,2.325,1.9656,1.415636,0.004727,83.71595,4.201967,0.011944,8.684181,4.701577778
6,342,0.201396792,9.483,1.899975,2.8049826,10.9,39.1,968.3,29.88,8.15,1393.8,17.38,7.6,0.44704,2.705,2.352331,5.17076,0.006954,74.5856,4.394247,0.01569,13.47442,6.385111111
6,348,0.120019175,8.998,1.899975,2.700227828,10.22,35.2,968.1,32.05,8.01,1707.4,12.19,20.6,0.44704,1.73,2.34754,5.254049,0.007026,74.36823,4.410633,0.01346,13.59906,7.079444444
